,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Kagoshima Prefecture,Kagoshima Prefecture,LOC,0.04424399,0.32187858,en,9.70000000,4308810-7,1860827,P,31.56667000,130.55000000,ASIA,Japan,EAS
South Korea,South Korea,GPE,-0.06708037,0.56041437,en,9.63571429,4078029-6,1835841,A,36.50000000,127.75000000,ASIA,South Korea,EAS
Sanin,Sanin,LOC,-0.06587759,0.93196307,en,9.55897436,,6898181,A,35.28434000,128.44748000,ASIA,South Korea,EAS
Hiroshima,Hiroshima,GPE,0.12675102,0.36037054,en,9.22083333,4072524-8,1862415,P,34.40000000,132.45000000,ASIA,Japan,EAS
New York,New York,GPE,0.00779930,0.64081250,en,9.15000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
San'in,San'in,GPE,-0.08376500,0.93528462,en,9.13269231,4116320-5,3621849,P,9.93388000,-84.08489000,CENTRAL-AMERICA,Costa Rica,SCA
U.S.,U.S.,GPE,0.08162456,0.46017910,en,8.75606061,,0,,,,,,
Germany,Germany,GPE,0.15678040,0.71164164,en,8.46915584,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Sea,Sea,LOC,-0.09454674,0.68836940,en,7.83269231,,10922499,L,41.25206000,36.96073000,EUROPE-AFRICA,Turkey,MED
Honshu,Honshu,GPE,0.15855201,0.67912198,en,7.82559524,,1862185,T,36.00000000,138.00000000,ASIA,Japan,EAS
Gunma Prefecture,Gunma Prefecture,GPE,0.00830565,0.24086379,en,7.52500000,4585830-5,1857843,P,36.40000000,139.08333000,ASIA,Japan,EAS
Shizuoka,Shizuoka,GPE,-0.08777778,0.26777778,en,7.50000000,4289915-1,1851717,P,34.98333000,138.38333000,ASIA,Japan,EAS
the Pacific Ocean,the Pacific Ocean,LOC,-0.06514944,0.75183658,en,7.43863636,,7670505,H,7.11300000,171.25400000,PACIFIC,Marshall Islands,EPO
the Sea of ​​Japan,the Sea of ​​Japan,LOC,-0.18557423,0.77760720,en,7.36666667,,0,,,,,,
Noto Peninsula,Noto Peninsula,LOC,0.16032556,0.40557985,en,7.35000000,,1854948,T,37.33333000,137.00000000,ASIA,Japan,EAS
Iran,Iran,GPE,-0.02744332,0.75717240,en,6.92119219,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
New Zealand,New Zealand,GPE,0.05620354,0.38998461,en,6.90000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
Los Angeles,Los Angeles,GPE,0.11781320,0.35343960,en,6.77272727,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Kanagawa,Kanagawa,GPE,-0.00622683,0.47009927,en,6.63571429,4192186-0,1848354,P,35.43333000,139.65000000,ASIA,Japan,EAS
America,America,GPE,0.25052138,0.95504996,en,6.62857143,,0,,,,,,
Okinawa Prefecture,Okinawa Prefecture,LOC,-0.01704545,0.18181818,en,6.60000000,4247455-3,1856035,P,26.21300000,127.67851000,ASIA,Japan,EAS
Iwate,Iwate,LOC,-0.00192496,0.26371914,en,6.49365079,4323908-0,2111834,P,39.70000000,141.15000000,ASIA,Japan,EAS
Shimane,Shimane,GPE,0.01832461,0.22513089,en,6.36666667,4389008-8,1857550,P,35.48333000,133.05000000,ASIA,Japan,EAS
Mt.,Mt.,GPE,-0.11360634,0.41523558,en,6.30833333,,0,,,,,,
Kochi,Kochi,GPE,0.36091410,1.48907630,en,6.01212121,4285343-6,1859146,P,33.55000000,133.53333000,ASIA,Japan,EAS
Tottori Prefecture,Tottori Prefecture,GPE,-0.03818444,0.30619597,en,5.78333333,4309653-0,1849892,P,35.50000000,134.23333000,ASIA,Japan,EAS
Noto Peninsula Earthquake,Noto Peninsula Earthquake,LOC,0.07925072,0.54775628,en,5.78333333,,0,,,,,,
Tochigi,Tochigi,GPE,0.07445255,0.24963504,en,5.70833333,4370926-6,1849053,P,36.56667000,139.88333000,ASIA,Japan,EAS
Dubai,Dubai,GPE,0.41409717,0.71824629,en,5.70714286,4204044-9,292223,P,25.07725000,55.30927000,ASIA,United Arab Emirates,ARP
UK,UK,GPE,0.20151072,0.73732943,en,5.70000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Wajima City,Wajima City,GPE,0.02294259,0.21054150,en,5.65641026,,0,,,,,,
Nara,Nara,GPE,0.40829797,1.37352664,en,5.61111111,4117774-5,1855612,P,34.68505000,135.80485000,ASIA,Japan,EAS
Sendai,Sendai,GPE,0.58887612,1.69638375,en,5.60541126,4118584-5,2111149,P,38.26667000,140.86667000,ASIA,Japan,EAS
Suzu City,Suzu City,GPE,0.06080125,0.27346166,en,5.60000000,,0,,,,,,
Kagoshima,Kagoshima,GPE,0.06363636,0.17272727,en,5.50000000,4308810-7,1860827,P,31.56667000,130.55000000,ASIA,Japan,EAS
Fukuoka,Fukuoka,GPE,0.40449197,1.05232772,en,5.47272727,4125989-0,1863967,P,33.60000000,130.41667000,ASIA,Japan,EAS
Australia,Australia,GPE,0.18884642,0.66462541,en,5.33846154,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
earth,earth,LOC,-0.03810719,0.94529673,en,5.31250000,,0,,,,,,
Taiwan,Taiwan,GPE,0.19926499,0.62269705,en,5.20726817,4017875-4,1668284,A,24.00000000,121.00000000,ASIA,Taiwan,EAS
Saitama Prefecture,Saitama Prefecture,GPE,-0.02657005,0.25040258,en,5.17500000,4390428-2,6940394,P,35.90807000,139.65657000,ASIA,Japan,EAS
Tochigi Prefecture,Tochigi Prefecture,GPE,0.05698395,0.23385470,en,5.12884615,4370926-6,1849053,P,36.56667000,139.88333000,ASIA,Japan,EAS
Kinki,Kinki,GPE,-0.03648208,0.52508143,en,5.11666667,4690443-8,1859449,L,35.00000000,135.50000000,ASIA,Japan,EAS
the Sea of ​​Okhotsk,the Sea of ​​Okhotsk,LOC,-0.00463576,0.49635762,en,5.03333333,,0,,,,,,
Nanao City,Nanao City,GPE,0.01992410,0.07969639,en,5.01904762,,0,,,,,,
the Pacific coast,the Pacific coast,LOC,-0.04124005,1.06655290,en,4.88333333,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Akita Prefecture,Akita Prefecture,GPE,0.00000000,0.00000000,en,4.80000000,4309665-7,2113126,P,39.71667000,140.11667000,ASIA,Japan,EAS
Nemuro,Nemuro,GPE,0.20258367,0.40987675,en,4.78571429,10141230-7,2128975,P,43.32361000,145.57500000,ASIA,Japan,EAS
the Great East Japan,the Great East Japan,LOC,0.74588086,0.86264259,en,4.78181818,,5195265,P,40.99258000,-75.91020000,NORTH-AMERICA,United States,ENA
