,phrase,label,sentiment,subjectivity,language,count
Katsumi Hattori,Katsumi Hattori,PERSON,0.13142857142857142,0.30428571428571427,en,1.0
Song Rui,Song Rui,PERSON,0.13142857142857142,0.30428571428571427,en,1.0
Yosuke Matsuoka,Yosuke Matsuoka,PERSON,0.0,0.0,en,1.0
[Rice Cooker Recipes,[Rice Cooker Recipes,PERSON,0.7166666666666667,0.9166666666666667,en,1.0
Hiroyuki Goto,Hiroyuki Goto,PERSON,0.0,0.0,en,1.0
Yokatai Maing,Yokatai Maing,PERSON,0.0,0.0,en,1.0
Masayuki Tamura,Masayuki Tamura,PERSON,0.0,0.0,en,1.0
Lorenzo Maria Pacini,Lorenzo Maria Pacini,PERSON,0.05,0.2,en,1.0
Ian Proud,Ian Proud,PERSON,0.26666666666666666,0.3333333333333333,en,1.0
Wanderly YS001 - One,Wanderly YS001 - One,PERSON,0.0,0.0,en,1.0
Koizumi Yakumo,Koizumi Yakumo,PERSON,0.2,0.30000000000000004,en,1.0
Hanzawa Naosuke Sangokan Shinsha,Hanzawa Naosuke Sangokan Shinsha,PERSON,0.0,0.0,en,1.0
Fumiyuki Nakanishi,Fumiyuki Nakanishi,PERSON,0.1,0.7,en,1.0
Lucas Leiros,Lucas Leiros,PERSON,0.0,0.1,en,1.0
Tottori Futon,Tottori Futon,PERSON,0.4375,0.55,en,1.0
Keita Kuriyama,Keita Kuriyama,PERSON,0.0,0.0,en,1.0
Shiseido “,Shiseido “,PERSON,0.14523809523809525,0.5857142857142856,en,1.0
Maru Nouchi,Maru Nouchi,PERSON,0.0,0.0,en,1.0
Gen Z,Gen Z,PERSON,0.0,0.0,en,1.0
Abe Sadao,Abe Sadao,PERSON,0.13636363636363635,0.45454545454545453,en,1.0
omelet rice,omelet rice,PERSON,0.0,0.0,en,1.0
Santa Claus,Santa Claus,PERSON,0.0,0.5,en,1.0
Summilux ASPH,Summilux ASPH,PERSON,0.35714285714285715,0.5357142857142857,en,1.0
Guru Maga | Summary,Guru Maga | Summary,PERSON,0.5,0.5,en,1.0
Gonohe Town,Gonohe Town,PERSON,0.0,0.0,en,1.0
◆ Hachinohe,◆ Hachinohe,PERSON,0.3,0.525,en,1.0
Waraimon ni Fuku,Waraimon ni Fuku,PERSON,0.3,0.5384615384615384,en,1.0
Habebe LN-08A - Warm,Habebe LN-08A - Warm,PERSON,0.5,0.7,en,1.0
Anonymous @,Anonymous @,PERSON,0.0,0.0,en,1.0
Maruko Sanno Hie Shrine,Maruko Sanno Hie Shrine,PERSON,0.23484848484848483,0.6439393939393939,en,1.0
Shinmei Okami,Shinmei Okami,PERSON,0.23484848484848483,0.6439393939393939,en,1.0
Nakahara Ward,Nakahara Ward,PERSON,0.23484848484848483,0.6439393939393939,en,1.0
Aito Sakamoto,Aito Sakamoto,PERSON,-0.15,0.175,en,1.0
Ahmed Abu Mutair,Ahmed Abu Mutair,PERSON,-0.2,0.0,en,1.0
Junko Taira,Junko Taira,PERSON,-0.0625,0.2375,en,1.0
Noriko Eguchi,Noriko Eguchi,PERSON,-0.0625,0.2375,en,1.0
Shuichi Takizawa,Shuichi Takizawa,PERSON,0.0,0.0,en,1.0
Takeshi Umeno,Takeshi Umeno,PERSON,0.0,0.14285714285714285,en,1.0
Shingo Yamamoto,Shingo Yamamoto,PERSON,0.0,0.14285714285714285,en,1.0
Xiaomi Japan,Xiaomi Japan,PERSON,0.16666666666666666,0.3416666666666666,en,1.0
Shinkansen Shin-Osaka-Hakata,Shinkansen Shin-Osaka-Hakata,PERSON,-0.125,0.375,en,1.0
Shimane Matsue,Shimane Matsue,PERSON,0.0,0.0,en,1.0
Yukiko Kamata,Yukiko Kamata,PERSON,0.0,0.3,en,1.0
Shigeru Yoshida,Shigeru Yoshida,PERSON,0.0,0.0,en,1.0
Creator Network,Creator Network,PERSON,0.0,0.75,en,1.0
Takashi Okabe,Takashi Okabe,PERSON,0.0,0.0,en,1.0
