domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
news.livedoor.com,0.06102850525333946,0.11255388727444542,0.456114199711112,0.11674346338262859,1038.0
www.huffingtonpost.jp,0.1759238515731415,0.17350382371953182,0.5326169503065473,0.1437425137472439,608.0
news.web.nhk,0.033808674634540764,0.15096706004005403,0.331296723408286,0.22888559790303503,334.0
entabe.jp,0.21457209342998265,0.16034324096647226,0.5467616468447408,0.1436211284970178,234.0
director.blog.shinobi.jp,0.08797327642653736,0.10694747999500238,0.4058383931801862,0.09444636366035167,208.0
www.asahi.com,0.04379819724564845,0.18942413005977482,0.3870434103444825,0.1948009635348682,177.0
prtimes.jp,0.11477833704928764,0.19062277126219498,0.37394111574118793,0.2334734551289849,165.0
web-price.info,0.16957271560936976,0.2140963691460216,0.5189182879568218,0.2649384766264036,152.0
togetter.com,0.07110028745775458,0.15052175356177336,0.49154464198887443,0.12533820424871495,116.0
dain.cocolog-nifty.com,0.08517795847220626,0.19292210536660162,0.3847312154413924,0.1570347386012682,113.0
nightwalker.cocolog-nifty.com,0.03913080851027279,0.1913422768864682,0.21888815945958803,0.2542907626410476,105.0
moeyo.com,0.274412895552903,0.11977443403365524,0.5123307139200701,0.11776451860198521,104.0
eiji.txt-nifty.com,0.03898786861286862,0.2026335121174169,0.42619058808001115,0.23414440649762508,104.0
blog.livedoor.jp,0.041471507163471456,0.23770214255248,0.4727260472190319,0.2250326039324722,84.0
japan.cnet.com,0.08206365751710945,0.12143089597781946,0.31598607315837657,0.18848921873362548,72.0
mobilelaby.com,0.1528644055573887,0.11219240165669504,0.4541157396714812,0.10844611925424524,62.0
uekusak.cocolog-nifty.com,0.06492409992124641,0.11767549857928625,0.40769815310667673,0.12477664154532647,61.0
yosyan.hatenablog.com,0.1292558367836217,0.12034186177122545,0.4783471288615318,0.12429319767552656,60.0
yoshizokitan.blog.shinobi.jp,0.002920046873377347,0.14935290019809586,0.4608880801054186,0.16085305361586688,53.0
moognyk.jp,0.07375038282493347,0.11022983118428169,0.3615004189278232,0.11980663527839493,45.0
